instance: p01
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.2 3862.2139495524675 4.303818668119632
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.1 3866.261705107157 4.413133265110844
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.0 3867.3257645332083 4.441869493314826
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.0 3869.4641875877724 4.499620227332258
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.2 3870.978046148188 4.540503832134377
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.5 3872.1532583136295 4.572241876220474
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.1 3872.2852244372984 4.575805783040053
evolve-10-population-200-tournament-group-25-crossover-0.6-mutation-0.0 3879.0276275760525 4.757892638806666
evolve-10-population-200-tournament-group-25-crossover-0.6-mutation-0.5 3882.7109980666555 4.8573665707942695

instance: p19
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.2 3864.159597633707 0.9694020379535999
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.5 3864.767702283793 0.9852916412021955
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.0 3865.346328105099 1.0004109709567928
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.1 3865.935065209306 1.0157945056859745
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.1 3869.5352052203434 1.1098651502809815
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.0 3869.825333275815 1.1174461146628119
evolve-10-population-200-tournament-group-25-crossover-0.6-mutation-0.1 3870.8065975518407 1.1430862738457392
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.2 3874.659510167201 1.2437617954043247
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.5 3877.293224928615 1.3125800203972489
evolve-10-population-200-tournament-group-25-crossover-0.6-mutation-0.0 3880.2280645670585 1.3892665536223205

instance: p20
evolve-10-population-200-tournament-group-5-crossover-0.6-mutation-0.0 4097.056274847716 0.960709767148316
evolve-10-population-200-tournament-group-10-crossover-0.8-mutation-0.5 4097.056274847716 0.960709767148316
evolve-10-population-200-tournament-group-5-crossover-0.6-mutation-0.2 4097.056274847716 0.960709767148316
evolve-10-population-200-tournament-group-5-crossover-1.0-mutation-0.1 4097.056274847716 0.960709767148316
evolve-10-population-200-tournament-group-25-crossover-0.6-mutation-0.2 4097.056274847716 0.960709767148316
evolve-10-population-200-tournament-group-2-crossover-0.8-mutation-0.1 4097.056274847716 0.960709767148316
evolve-10-population-200-tournament-group-5-crossover-0.8-mutation-0.1 4097.056274847716 0.960709767148316
evolve-10-population-200-tournament-group-2-crossover-0.6-mutation-0.5 4097.056274847716 0.960709767148316
evolve-10-population-200-tournament-group-10-crossover-0.6-mutation-0.1 4097.056274847716 0.960709767148316
